payment_id,customer_id,amount_inr,payment_method,failure_type,hour_of_day,minutes_since_failure,retry_count,previous_payments,previous_successes,previous_success_rate,recovered
PAY_06253,CUST_2034,925.3,upi,insufficient_funds,5,352,1,4,0,0.0,0
PAY_04685,CUST_0045,1210.91,card,checkout_abandoned,13,527,2,4,3,0.75,1
PAY_01732,CUST_2025,1356.94,card,card_declined,14,1415,2,3,3,1.0,1
PAY_04743,CUST_2237,3703.02,netbanking,checkout_abandoned,0,467,0,0,0,0.75,0
PAY_04522,CUST_0213,2490.02,card,insufficient_funds,16,1817,0,8,7,0.875,1
PAY_06341,CUST_1515,1190.71,upi,checkout_abandoned,8,855,0,7,6,0.857,1
PAY_00577,CUST_1831,1140.85,netbanking,checkout_abandoned,15,1428,0,9,8,0.889,0
PAY_05203,CUST_2362,1707.01,upi,card_declined,3,1229,1,6,6,1.0,0
PAY_06364,CUST_0468,1152.47,upi,card_declined,0,1079,1,7,7,1.0,1
PAY_00440,CUST_0181,736.14,card,network_timeout,3,1799,0,0,0,0.75,1
PAY_02751,CUST_2156,1350.68,wallet,card_declined,6,98,1,10,6,0.6,0
PAY_07488,CUST_1148,932.19,card,card_declined,10,993,0,14,13,0.929,1
PAY_05273,CUST_0591,1192.3,card,checkout_abandoned,18,881,0,1,1,1.0,1
PAY_05654,CUST_0407,753.69,card,insufficient_funds,19,1904,1,8,5,0.625,0
PAY_04000,CUST_1540,755.73,upi,card_declined,22,783,2,14,10,0.714,0
PAY_06034,CUST_1652,1775.87,card,card_declined,21,1114,2,4,2,0.5,0
PAY_00583,CUST_0849,2670.26,upi,card_declined,12,1290,1,0,0,0.75,0
PAY_09931,CUST_0556,3941.06,wallet,card_declined,22,1362,1,8,8,1.0,0
PAY_07052,CUST_2427,2129.19,card,card_declined,19,1888,2,4,2,0.5,0
PAY_08159,CUST_1458,9617.48,wallet,card_declined,11,999,1,6,6,1.0,0
PAY_09897,CUST_1767,2875.94,upi,checkout_abandoned,18,2046,2,8,7,0.875,1
PAY_02250,CUST_1359,6789.71,card,insufficient_funds,19,1935,2,12,9,0.75,0
PAY_04641,CUST_0342,3136.7,upi,card_declined,18,1696,0,1,1,1.0,0
PAY_09486,CUST_1593,1022.36,netbanking,insufficient_funds,18,1880,0,7,5,0.714,1
PAY_04948,CUST_1592,1389.27,upi,checkout_abandoned,5,1116,2,0,0,0.75,0
PAY_09921,CUST_1942,733.59,card,card_declined,14,1402,1,11,9,0.818,0
PAY_01964,CUST_0170,4258.63,card,card_declined,9,1034,0,1,1,1.0,0
PAY_08244,CUST_0222,2541.46,upi,insufficient_funds,17,333,0,1,0,0.0,0
PAY_06591,CUST_2036,6573.2,netbanking,insufficient_funds,22,347,1,12,10,0.833,1
PAY_08848,CUST_0888,1502.4,netbanking,network_timeout,15,425,2,3,3,1.0,0
PAY_00322,CUST_2058,1445.56,upi,network_timeout,5,129,1,7,7,1.0,1
PAY_02679,CUST_0255,1978.98,card,checkout_abandoned,11,926,2,11,5,0.455,0
PAY_04626,CUST_0203,2555.87,card,network_timeout,16,1357,1,8,5,0.625,0
PAY_04950,CUST_2100,312.97,card,checkout_abandoned,23,959,2,1,1,1.0,0
PAY_08329,CUST_1248,406.14,card,checkout_abandoned,8,1219,2,3,3,1.0,0
PAY_03338,CUST_0178,2405.77,netbanking,checkout_abandoned,21,9,0,1,1,1.0,1
PAY_05590,CUST_1225,1257.56,netbanking,network_timeout,13,1942,2,11,3,0.273,0
PAY_00252,CUST_0525,8622.82,wallet,checkout_abandoned,20,110,0,6,5,0.833,0
PAY_03974,CUST_1127,4015.95,card,card_declined,9,88,0,2,1,0.5,0
PAY_06631,CUST_1805,2319.85,card,checkout_abandoned,19,2149,0,7,4,0.571,1
PAY_05548,CUST_2361,1191.13,card,network_timeout,18,494,0,1,1,1.0,1
PAY_00036,CUST_2445,1322.52,wallet,card_declined,7,87,2,4,4,1.0,0
PAY_08363,CUST_0998,2454.29,card,network_timeout,13,319,1,0,0,0.75,0
PAY_01514,CUST_1976,352.12,card,checkout_abandoned,18,158,2,3,2,0.667,0
PAY_09318,CUST_1699,271.75,card,insufficient_funds,6,587,0,5,3,0.6,0
PAY_00040,CUST_1013,1695.92,upi,checkout_abandoned,11,1111,0,9,6,0.667,1
PAY_04820,CUST_1456,3512.38,card,network_timeout,8,1681,0,2,0,0.0,0
PAY_03466,CUST_0352,2763.08,card,checkout_abandoned,6,1854,1,8,4,0.5,0
PAY_01761,CUST_1962,4167.18,card,insufficient_funds,14,360,2,9,8,0.889,0
PAY_02305,CUST_0643,2423.51,upi,insufficient_funds,9,1327,0,13,8,0.615,0
