paymentId,customerId,amountInr,status,paymentMethod,failureType,hourOfDay,minutesSinceFailure,retryCount,previousPayments,previousSuccesses,previousSuccessRate,recovered
PAY_001,CUST_016,1000,successful,card,none,23,0,0,4,0,0.0,1
PAY_002,CUST_015,250,failed,netbanking,checkout_abandoned,6,70,0,4,4,1.0,1
PAY_003,CUST_022,1500,failed,card,network_timeout,6,18,0,18,13,0.72,1
PAY_004,CUST_003,5000,failed,netbanking,card_declined,3,740,1,11,1,0.09,0
PAY_005,CUST_003,1000,failed,upi,network_timeout,2,1187,0,13,1,0.08,0
PAY_006,CUST_023,1000,failed,netbanking,checkout_abandoned,8,1306,1,8,1,0.12,1
PAY_007,CUST_036,1000,failed,netbanking,insufficient_funds,10,339,1,3,1,0.33,0
PAY_008,CUST_021,3000,successful,upi,none,2,0,0,2,0,0.0,1
PAY_009,CUST_017,750,failed,card,checkout_abandoned,23,815,2,7,5,0.71,1
PAY_010,CUST_009,5000,failed,card,checkout_abandoned,1,1200,1,18,17,0.94,1
PAY_011,CUST_039,5000,failed,netbanking,checkout_abandoned,8,1226,0,4,1,0.25,1
PAY_012,CUST_022,500,failed,upi,card_declined,13,1401,2,18,0,0.0,0
PAY_013,CUST_007,1500,failed,netbanking,network_timeout,16,1030,0,6,3,0.5,1
PAY_014,CUST_039,2000,failed,upi,insufficient_funds,0,1109,2,20,6,0.3,0
PAY_015,CUST_020,1000,successful,card,none,7,0,0,4,2,0.5,1
PAY_016,CUST_009,5000,failed,netbanking,checkout_abandoned,5,146,2,19,2,0.11,0
PAY_017,CUST_028,1000,successful,netbanking,none,23,0,0,9,8,0.89,1
PAY_018,CUST_016,1000,failed,card,network_timeout,10,902,2,7,4,0.57,1
PAY_019,CUST_015,500,failed,card,card_declined,10,150,2,1,0,0.0,0
PAY_020,CUST_037,5000,failed,card,checkout_abandoned,15,443,2,3,1,0.33,1
PAY_021,CUST_004,500,failed,card,checkout_abandoned,12,730,1,14,3,0.21,0
PAY_022,CUST_012,1500,failed,upi,insufficient_funds,7,1103,1,11,1,0.09,0
PAY_023,CUST_036,500,successful,card,none,20,0,0,3,3,1.0,1
PAY_024,CUST_016,750,successful,upi,none,15,0,0,18,0,0.0,1
PAY_025,CUST_004,750,successful,upi,none,0,0,0,16,6,0.38,1
