payment_id,customer_id,amount_inr,payment_method,failure_type,hour_of_day,minutes_since_failure,retry_count,previous_payments,previous_successes,previous_success_rate,recovered
PAY_00001,CUST_2329,417.77,upi,checkout_abandoned,13,1031,2,5,2,0.4,0
PAY_00002,CUST_1521,1312.63,upi,insufficient_funds,16,1527,2,4,1,0.25,0
PAY_00003,CUST_1394,444.44,card,checkout_abandoned,17,1557,1,2,1,0.5,0
PAY_00004,CUST_1558,9216.71,card,checkout_abandoned,9,1021,2,4,2,0.5,0
PAY_00005,CUST_1934,2133.53,card,card_declined,4,793,0,2,1,0.5,0
PAY_00006,CUST_0581,1990.63,card,checkout_abandoned,13,977,0,7,3,0.429,0
PAY_00007,CUST_1111,2167.22,card,checkout_abandoned,21,1530,2,9,8,0.889,1
PAY_00008,CUST_2025,2919.47,wallet,checkout_abandoned,16,470,2,12,10,0.833,0
PAY_00009,CUST_1921,3936.57,card,card_declined,16,3,0,4,1,0.25,0
PAY_00010,CUST_1924,515.27,card,network_timeout,20,1538,2,1,0,0.0,0
PAY_00011,CUST_0999,5134.22,upi,insufficient_funds,16,1371,0,12,9,0.75,1
PAY_00012,CUST_1077,4876.59,upi,checkout_abandoned,11,247,2,10,8,0.8,1
PAY_00013,CUST_1488,1706.95,card,network_timeout,16,1298,2,4,4,1.0,0
PAY_00014,CUST_2143,1636.9,card,checkout_abandoned,16,806,1,14,13,0.929,0
PAY_00015,CUST_1673,150.41,wallet,insufficient_funds,10,1965,0,9,8,0.889,1
PAY_00016,CUST_0613,665.37,card,card_declined,6,1560,0,11,10,0.909,0
PAY_00017,CUST_0133,2726.08,upi,network_timeout,9,1038,1,5,2,0.4,0
PAY_00018,CUST_2120,4703.38,netbanking,card_declined,11,2118,2,6,4,0.667,0
PAY_00019,CUST_0252,3224.75,card,checkout_abandoned,16,1513,1,5,3,0.6,0
PAY_00020,CUST_1563,1694.21,upi,network_timeout,2,459,1,10,5,0.5,1
PAY_00021,CUST_1722,8402.13,card,checkout_abandoned,16,1340,1,12,11,0.917,0
PAY_00022,CUST_0114,4022.59,card,insufficient_funds,11,1373,2,12,5,0.417,0
PAY_00023,CUST_0986,1313.54,card,checkout_abandoned,2,1732,2,4,2,0.5,0
PAY_00024,CUST_0888,10313.72,wallet,checkout_abandoned,8,139,0,11,10,0.909,0
PAY_00025,CUST_0151,748.9,card,checkout_abandoned,18,1951,0,10,8,0.8,0
PAY_00026,CUST_1717,554.5,card,card_declined,22,577,1,0,0,0.75,1
PAY_00027,CUST_0805,1285.18,wallet,network_timeout,19,1103,0,11,4,0.364,1
PAY_00028,CUST_1811,981.06,card,card_declined,6,209,2,1,1,1.0,0
PAY_00029,CUST_1776,1344.26,netbanking,card_declined,13,355,2,1,1,1.0,0
PAY_00030,CUST_0921,3408.46,upi,checkout_abandoned,23,1794,1,1,0,0.0,0
PAY_00031,CUST_1077,1751.73,upi,checkout_abandoned,11,1609,2,8,5,0.625,0
PAY_00032,CUST_0572,1788.09,netbanking,checkout_abandoned,5,903,1,0,0,0.75,0
PAY_00033,CUST_0015,1886.72,upi,insufficient_funds,12,168,2,7,4,0.571,0
PAY_00034,CUST_0436,283.07,card,insufficient_funds,14,1925,2,10,5,0.5,0
PAY_00035,CUST_0251,535.57,wallet,network_timeout,5,371,0,8,7,0.875,1
PAY_00036,CUST_2445,1322.52,wallet,card_declined,7,87,2,4,4,1.0,0
PAY_00037,CUST_0509,917.08,netbanking,card_declined,23,514,1,5,4,0.8,0
PAY_00038,CUST_0983,1495.34,upi,network_timeout,21,1508,1,10,10,1.0,0
PAY_00039,CUST_1420,5534.99,upi,card_declined,21,639,0,5,5,1.0,1
PAY_00040,CUST_1013,1695.92,upi,checkout_abandoned,11,1111,0,9,6,0.667,1
PAY_00041,CUST_2329,625.03,card,insufficient_funds,20,256,2,10,4,0.4,0
PAY_00042,CUST_0421,954.38,upi,checkout_abandoned,6,1498,1,7,4,0.571,0
PAY_00043,CUST_2047,7072.74,upi,checkout_abandoned,7,2088,0,5,4,0.8,1
PAY_00044,CUST_0940,6133.6,upi,insufficient_funds,4,2088,1,0,0,0.75,0
